Timestamp,Temperature,Humidity,Pressure,Gas
2026. 4. 12 오전 11:14:28,25.51,40.25,990.86,136.85
2026. 4. 12 오전 11:14:31,25.51,40.25,990.86,136.85
2026. 4. 12 오전 11:14:33,27.06,40.56,990.84,176.87
2026. 4. 12 오전 11:14:36,26.75,39.92,990.86,158.62
2026. 4. 12 오전 11:14:39,26.47,39.88,990.86,152.41
2026. 4. 12 오전 11:14:41,26.24,39.98,990.85,147.19
2026. 4. 12 오전 11:14:45,26.07,40.08,990.85,143.65
2026. 4. 12 오전 11:14:47,25.94,40.21,990.86,142.43
2026. 4. 12 오전 11:14:50,25.83,40.33,990.86,140.52
2026. 4. 12 오전 11:14:53,25.74,40.41,990.86,140.05
2026. 4. 12 오전 11:14:55,25.68,40.46,990.87,139.93
2026. 4. 12 오전 11:14:59,25.63,40.51,990.87,138.43
2026. 4. 12 오전 11:15:02,25.59,40.61,990.86,137.41
2026. 4. 12 오전 11:15:04,25.55,40.66,990.86,137.97
2026. 4. 12 오전 11:15:07,25.53,40.72,990.85,138.43
2026. 4. 12 오전 11:15:10,25.5,40.71,990.84,137.41
2026. 4. 12 오전 11:15:13,25.49,40.68,990.84,135.52
2026. 4. 12 오전 11:15:16,25.47,40.68,990.84,136.62
2026. 4. 12 오전 11:15:18,25.46,40.67,990.83,137.18
2026. 4. 12 오전 11:15:21,25.46,40.7,990.82,134.54
2026. 4. 12 오전 11:15:24,25.45,40.73,990.82,134.32
2026. 4. 12 오전 11:15:27,25.44,40.73,990.81,136.96
2026. 4. 12 오전 11:15:30,25.43,40.69,990.81,136.51
2026. 4. 12 오전 11:15:32,25.43,40.6,990.82,136.51
2026. 4. 12 오전 11:15:35,25.42,40.48,990.82,137.07
2026. 4. 12 오전 11:15:38,25.41,40.46,990.83,135.52
2026. 4. 12 오전 11:15:41,25.4,40.44,990.82,136.18
2026. 4. 12 오전 11:15:44,25.4,40.47,990.82,136.62
2026. 4. 12 오전 11:15:46,25.4,40.51,990.82,137.07
2026. 4. 12 오전 11:15:50,25.39,40.5,990.82,134.97
2026. 4. 12 오전 11:15:52,25.39,40.47,990.82,137.63
2026. 4. 12 오전 11:15:55,25.38,40.46,990.82,137.86
2026. 4. 12 오전 11:15:57,25.38,40.43,990.82,137.63
2026. 4. 12 오전 11:16:01,25.37,40.4,990.82,137.52
2026. 4. 12 오전 11:16:03,25.36,40.33,990.82,137.97
2026. 4. 12 오전 11:16:06,25.36,40.28,990.83,135.3
2026. 4. 12 오전 11:16:08,25.35,40.22,990.83,138.77
2026. 4. 12 오전 11:16:11,25.34,40.14,990.83,137.52
2026. 4. 12 오전 11:16:13,25.33,40.1,990.83,137.63
2026. 4. 12 오전 11:17:30,24.69,39.98,990.84,140.28
2026. 4. 12 오전 11:17:32,24.69,39.98,990.84,140.28
2026. 4. 12 오전 11:17:35,24.69,39.98,990.84,140.28
2026. 4. 12 오전 11:17:37,26.25,40.35,990.8,184.88
2026. 4. 12 오전 11:17:40,25.92,39.77,990.8,164.05
2026. 4. 12 오전 11:17:42,25.65,39.76,990.79,156.25
2026. 4. 12 오전 11:17:45,25.43,39.8,990.79,151.17
2026. 4. 12 오전 11:17:48,25.26,39.84,990.78,148.49
2026. 4. 12 오전 11:17:50,25.14,39.89,990.79,147.06
2026. 4. 12 오전 11:17:52,25.03,39.92,990.79,145.27
2026. 4. 12 오전 11:17:55,24.96,39.95,990.79,144.65
2026. 4. 12 오전 11:17:58,24.89,39.95,990.8,143.65
2026. 4. 12 오전 11:18:00,24.85,39.93,990.8,143.78
2026. 4. 12 오전 11:18:03,24.82,39.9,990.81,143.65
2026. 4. 12 오전 11:18:05,24.78,39.82,990.83,143.16
2026. 4. 12 오전 11:18:08,24.76,39.77,990.83,143.53
2026. 4. 12 오전 11:18:10,24.73,39.68,990.84,143.65
2026. 4. 12 오전 11:18:13,24.71,39.57,990.85,143.9
2026. 4. 12 오전 11:18:15,24.7,39.36,990.85,144.77
2026. 4. 12 오전 11:18:18,24.68,39.22,990.85,144.27
2026. 4. 12 오전 11:18:21,24.66,39.11,990.85,145.15
2026. 4. 12 오전 11:18:24,24.61,38.95,990.85,146.03
2026. 4. 12 오전 11:18:26,24.58,38.89,990.86,145.52
2026. 4. 12 오전 11:18:29,24.55,38.94,990.86,145.4
2026. 4. 12 오전 11:18:32,24.54,39.08,990.86,144.4
2026. 4. 12 오전 11:18:34,24.54,39.29,990.86,143.28
2026. 4. 12 오전 11:18:37,24.54,39.46,990.86,143.16
2026. 4. 12 오전 11:18:39,24.52,39.47,990.87,143.53
2026. 4. 12 오전 11:18:41,24.51,39.48,990.86,143.53
2026. 4. 12 오전 11:18:44,24.49,39.6,990.86,143.28
2026. 4. 12 오전 11:18:46,24.49,39.75,990.85,143.41
2026. 4. 12 오전 11:18:49,24.47,39.71,990.84,144.4
2026. 4. 12 오전 11:18:51,24.47,39.52,990.83,145.02
2026. 4. 12 오전 11:18:54,24.47,39.45,990.82,144.15
2026. 4. 12 오전 11:18:56,24.47,39.45,990.81,143.28
2026. 4. 12 오전 11:18:58,24.47,39.52,990.8,143.9
2026. 4. 12 오전 11:19:00,24.47,39.64,990.79,142.8
2026. 4. 12 오전 11:19:03,24.48,39.78,990.79,142.55
2026. 4. 12 오전 11:19:05,24.49,39.83,990.79,142.67
2026. 4. 12 오전 11:19:07,24.49,39.73,990.79,143.28
2026. 4. 12 오전 11:19:11,24.49,39.59,990.79,143.65
2026. 4. 12 오전 11:19:13,24.48,39.55,990.79,143.04
2026. 4. 12 오전 11:19:16,24.47,39.64,990.79,142.92
2026. 4. 12 오전 11:19:18,24.47,39.72,990.8,142.92
2026. 4. 12 오전 11:19:21,24.47,39.8,990.8,141.95
2026. 4. 12 오전 11:19:23,24.46,39.86,990.81,142.31
2026. 4. 12 오전 11:19:26,24.44,39.7,990.84,144.27
2026. 4. 12 오전 11:19:29,24.41,39.43,990.85,144.52
2026. 4. 12 오전 11:19:31,24.38,39.22,990.86,145.52
2026. 4. 12 오전 11:19:34,24.35,39.06,990.86,146.16
2026. 4. 12 오전 11:19:36,24.32,38.95,990.86,146.67
2026. 4. 12 오전 11:19:39,24.3,38.91,990.85,146.8
2026. 4. 12 오전 11:19:42,24.29,38.92,990.84,146.16
2026. 4. 12 오전 11:19:46,24.29,38.92,990.83,145.78
2026. 4. 12 오전 11:19:48,24.3,39.06,990.83,144.65
2026. 4. 12 오전 11:19:51,24.29,39.23,990.82,144.65
2026. 4. 12 오전 11:19:53,24.3,39.39,990.82,143.41
2026. 4. 12 오전 11:20:01,24.3,39.49,990.82,143.65
2026. 4. 12 오전 11:20:03,24.31,39.57,990.83,143.53
2026. 4. 12 오전 11:20:05,24.32,39.54,990.82,143.28
2026. 4. 12 오전 11:20:07,24.31,39.43,990.82,144.15
2026. 4. 12 오전 11:20:10,24.31,39.39,990.82,144.02
2026. 4. 12 오전 11:20:12,24.3,39.41,990.81,144.4
2026. 4. 12 오전 11:20:14,24.3,39.42,990.81,144.02
2026. 4. 12 오전 11:20:16,24.3,39.45,990.81,144.52
2026. 4. 12 오전 11:20:18,24.3,39.48,990.8,143.78
2026. 4. 12 오전 11:20:21,24.3,39.52,990.79,143.28
2026. 4. 12 오전 11:20:24,24.3,39.56,990.79,144.27
2026. 4. 12 오전 11:20:27,24.3,39.58,990.78,143.78
2026. 4. 12 오전 11:20:29,24.29,39.57,990.79,144.27
2026. 4. 12 오전 11:20:32,24.29,39.49,990.79,143.9
2026. 4. 12 오전 11:20:34,24.29,39.47,990.8,143.9
2026. 4. 12 오전 11:20:37,24.28,39.41,990.8,144.27
2026. 4. 12 오전 11:20:40,24.26,39.38,990.82,144.77
2026. 4. 12 오전 11:20:42,24.25,39.39,990.83,145.02
2026. 4. 12 오전 11:20:44,24.24,39.38,990.83,144.65
2026. 4. 12 오전 11:20:47,24.24,39.4,990.83,144.52
2026. 4. 12 오전 11:20:49,24.24,39.43,990.84,143.78
2026. 4. 12 오전 11:20:51,24.24,39.46,990.83,143.65
2026. 4. 12 오전 11:20:54,24.24,39.5,990.83,143.41
2026. 4. 12 오전 11:20:56,24.24,39.46,990.82,144.65
2026. 4. 12 오전 11:20:58,24.24,39.36,990.82,144.77
2026. 4. 12 오전 11:21:01,24.24,39.27,990.82,144.52
2026. 4. 12 오전 11:21:03,24.24,39.17,990.82,144.77
2026. 4. 12 오전 11:21:06,24.23,39.1,990.83,144.52
2026. 4. 12 오전 11:21:09,24.24,39.12,990.84,144.52
2026. 4. 12 오전 11:21:11,24.22,39.13,990.84,146.93
2026. 4. 12 오전 11:21:13,24.16,38.91,990.84,147.84
2026. 4. 12 오전 11:21:16,24.07,38.65,990.85,150.77
2026. 4. 12 오전 11:21:18,23.96,38.42,990.86,151.58
2026. 4. 12 오전 11:21:21,23.84,38.43,990.87,153.25
2026. 4. 12 오전 11:21:23,23.7,38.43,990.88,153.39
2026. 4. 12 오전 11:21:25,23.6,38.55,990.89,152.55
2026. 4. 12 오전 11:21:27,23.49,38.7,990.87,153.53
2026. 4. 12 오전 11:21:30,23.42,38.88,990.86,153.39
2026. 4. 12 오전 11:21:33,23.37,39.11,990.86,151.58
2026. 4. 12 오전 11:21:35,23.34,39.47,990.86,149.42
2026. 4. 12 오전 11:21:37,23.32,39.78,990.86,150.36
2026. 4. 12 오전 11:21:39,23.29,40.0,990.86,149.55
2026. 4. 12 오전 11:21:42,23.28,40.15,990.87,149.15
2026. 4. 12 오전 11:21:44,23.28,40.24,990.86,149.15
2026. 4. 12 오전 11:21:46,23.28,40.32,990.87,148.89
2026. 4. 12 오전 11:21:49,23.28,40.37,990.87,147.58
2026. 4. 12 오전 11:21:51,23.29,40.48,990.87,147.71
2026. 4. 12 오전 11:21:53,23.3,40.57,990.87,147.97
2026. 4. 12 오전 11:21:56,23.32,40.62,990.86,146.42
2026. 4. 12 오전 11:21:59,23.34,40.71,990.86,146.16
2026. 4. 12 오전 11:22:01,23.37,40.76,990.86,145.27
2026. 4. 12 오전 11:22:04,23.39,40.8,990.86,145.52
2026. 4. 12 오전 11:22:06,23.42,40.8,990.86,145.65
2026. 4. 12 오전 11:22:09,23.44,40.83,990.86,144.27
2026. 4. 12 오전 11:22:11,23.46,40.88,990.86,145.02
2026. 4. 12 오전 11:22:14,23.48,40.87,990.85,144.77
2026. 4. 12 오전 11:22:16,23.51,40.83,990.85,144.77
2026. 4. 12 오전 11:22:20,23.52,40.79,990.84,144.02
2026. 4. 12 오전 11:22:22,23.54,40.75,990.85,145.02
2026. 4. 12 오전 11:22:25,23.56,40.73,990.85,144.9
2026. 4. 12 오전 11:22:28,23.58,40.67,990.85,144.27
2026. 4. 12 오전 11:22:31,23.58,40.52,990.84,145.78
2026. 4. 12 오전 11:22:33,23.59,40.42,990.84,145.52
2026. 4. 12 오전 11:22:36,23.6,40.38,990.83,144.52
2026. 4. 12 오전 11:22:39,23.62,40.39,990.84,145.02
2026. 4. 12 오전 11:22:42,23.63,40.42,990.83,145.02
2026. 4. 12 오전 11:22:45,23.63,40.35,990.83,145.78
2026. 4. 12 오전 11:22:47,23.63,40.22,990.82,145.02
2026. 4. 12 오전 11:22:49,23.64,40.1,990.82,145.27
2026. 4. 12 오전 11:22:52,23.65,40.02,990.83,145.15
2026. 4. 12 오전 11:22:54,23.65,39.98,990.83,145.65
2026. 4. 12 오전 11:22:56,23.66,39.95,990.83,146.16
2026. 4. 12 오전 11:22:59,23.67,39.94,990.82,145.15
2026. 4. 12 오전 11:23:01,23.68,39.99,990.83,145.4
2026. 4. 12 오전 11:23:03,23.69,39.95,990.81,145.91
2026. 4. 12 오전 11:23:06,23.69,39.88,990.82,145.02
2026. 4. 12 오전 11:23:09,23.7,39.88,990.8,145.4
2026. 4. 12 오전 11:23:12,23.71,39.89,990.79,145.52
2026. 4. 12 오전 11:23:14,23.72,39.91,990.78,145.15
2026. 4. 12 오전 11:23:17,23.72,39.94,990.78,144.9
2026. 4. 12 오전 11:23:19,23.73,39.85,990.77,145.52
2026. 4. 12 오전 11:23:22,23.73,39.83,990.76,145.27
2026. 4. 12 오전 11:23:24,23.73,39.85,990.76,144.9
2026. 4. 12 오전 11:23:27,23.73,39.89,990.77,144.77
2026. 4. 12 오전 11:23:29,23.74,39.88,990.77,144.65
2026. 4. 12 오전 11:23:32,23.74,39.86,990.77,144.9
2026. 4. 12 오전 11:23:35,23.74,39.8,990.78,145.52
2026. 4. 12 오전 11:23:38,23.75,39.73,990.79,145.27
2026. 4. 12 오전 11:23:41,23.75,39.72,990.8,145.02
2026. 4. 12 오전 11:23:43,23.76,39.73,990.81,144.9
2026. 4. 12 오전 11:23:46,23.76,39.7,990.81,145.52
2026. 4. 12 오전 11:23:48,23.76,39.61,990.83,145.4
2026. 4. 12 오전 11:23:51,23.76,39.53,990.83,145.65
2026. 4. 12 오전 11:23:53,23.76,39.48,990.83,145.78
2026. 4. 12 오전 11:23:55,23.77,39.58,990.83,143.16
2026. 4. 12 오전 11:23:57,23.79,41.23,990.84,140.05
2026. 4. 12 오전 11:24:00,23.8,41.66,990.84,141.83
2026. 4. 12 오전 11:24:02,23.81,41.32,990.85,142.8
2026. 4. 12 오전 11:24:04,23.81,40.9,990.84,143.16
2026. 4. 12 오전 11:24:06,23.82,40.6,990.84,144.4
2026. 4. 12 오전 11:24:09,23.83,40.44,990.85,142.8
2026. 4. 12 오전 11:24:12,23.84,40.42,990.86,142.55
2026. 4. 12 오전 11:24:14,23.85,40.46,990.86,141.95
2026. 4. 12 오전 11:24:17,23.83,40.41,990.85,144.02
